CCTV,#genre#
CCTV1,http://111.20.33.93/PLTV/88888893/224/3221226231/index.m3u8
CCTV1,http://113.57.109.37:9901/tsfile/live/0001_1.m3u8
CCTV1,http://183.11.239.32:808/hls/13/index.m3u8
CCTV1,http://58.20.156.136:9901/tsfile/live/0001_1.m3u8
CCTV2,http://111.20.33.93/PLTV/88888893/224/3221226195/index.m3u8
CCTV2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV2,http://113.57.109.37:9901/tsfile/live/0002_1.m3u8
CCTV2,http://58.20.156.136:9901/tsfile/live/0003_1.m3u8
CCTV2,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://113.57.109.37:9901/tsfile/live/0003_1.m3u8
CCTV3,http://183.11.239.32:808/hls/116/index.m3u8
CCTV3,http://58.20.156.136:9901/tsfile/live/0004_1.m3u8
CCTV4,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,http://111.20.33.93/PLTV/88888893/224/3221226223/index.m3u8
CCTV4,http://113.57.109.37:9901/tsfile/live/0004_1.m3u8
CCTV4,http://58.20.156.136:9901/tsfile/live/0005_1.m3u8
CCTV4,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://113.57.109.37:9901/tsfile/live/0005_1.m3u8
CCTV5,http://183.11.239.32:808/hls/121/index.m3u8
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226345/index.m3u8
CCTV5+,http://113.57.109.37:9901/tsfile/live/1001_1.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226393/index.m3u8
CCTV6,http://113.57.109.37:9901/tsfile/live/0006_1.m3u8
CCTV6,http://183.11.239.32:808/hls/122/index.m3u8
CCTV6,http://58.20.156.136:9901/tsfile/live/0007_1.m3u8
CCTV7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV7,http://58.20.156.136:9901/tsfile/live/0008_1.m3u8
CCTV7,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV8,http://183.11.239.32:808/hls/123/index.m3u8
CCTV8,http://58.20.156.136:9901/tsfile/live/0009_1.m3u8
CCTV9,http://111.20.33.93/PLTV/88888893/224/3221226197/index.m3u8
CCTV9,http://113.57.109.37:9901/tsfile/live/0009_1.m3u8
CCTV9,http://58.20.156.136:9901/tsfile/live/0010_1.m3u8
CCTV9,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV10,http://113.57.109.37:9901/tsfile/live/0010_1.m3u8
CCTV10,http://58.20.156.136:9901/tsfile/live/0011_1.m3u8
CCTV11,http://113.57.109.37:9901/tsfile/live/0011_1.m3u8
CCTV11,http://58.20.156.136:9901/tsfile/live/0012_1.m3u8
CCTV11,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV12,http://113.57.109.37:9901/tsfile/live/0012_1.m3u8
CCTV12,http://58.20.156.136:9901/tsfile/live/0013_1.m3u8
CCTV12,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13,http://117.169.120.140:8080/live/CCTV13/.m3u8
CCTV13,http://183.207.248.71/cntv/live1/CCTV13/CCTV13
CCTV13,http://183.207.248.71:80/cntv/live1/CCTV13/CCTV13
CCTV13,http://183.207.249.14/PLTV/3/224/3221225560/index.m3u8
CCTV13,http://183.207.249.36/PLTV/4/224/3221227387/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://58.20.156.136:9901/tsfile/live/0014_1.m3u8
CCTV14,http://113.57.109.37:9901/tsfile/live/0014_1.m3u8
CCTV14,http://58.20.156.136:9901/tsfile/live/0015_1.m3u8
CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
